final_cell_type,sample_id,gene,n_cells,average_expression,positive_fraction,CD44_ITGB1_module_mean,SPP1_module_mean
"Macrophage","FT-SA23505","SPP1",11,0,0,0.214944491957252,-0.163148541541623
"Macrophage","FT-SA23505","C1QA",11,0,0,0.214944491957252,-0.163148541541623
"Macrophage","FT-SA23505","C1QB",11,0.129888903507699,0.0909090909090909,0.214944491957252,-0.163148541541623
"Macrophage","FT-SA23505","C1QC",11,0,0,0.214944491957252,-0.163148541541623
"Macrophage","FT-SA23505","FOLR2",11,0.131019101701455,0.0909090909090909,0.214944491957252,-0.163148541541623
"Macrophage","FT-SA23505","TREM2",11,0,0,0.214944491957252,-0.163148541541623
"Macrophage","FT-SA23506","SPP1",3,0,0,0.295484572872264,-0.183475445907209
"Macrophage","FT-SA23506","C1QA",3,0,0,0.295484572872264,-0.183475445907209
"Macrophage","FT-SA23506","C1QB",3,0,0,0.295484572872264,-0.183475445907209
"Macrophage","FT-SA23506","C1QC",3,0,0,0.295484572872264,-0.183475445907209
"Macrophage","FT-SA23506","FOLR2",3,0,0,0.295484572872264,-0.183475445907209
"Macrophage","FT-SA23506","TREM2",3,0,0,0.295484572872264,-0.183475445907209
"Macrophage","FT-SA23508","SPP1",30,0,0,0.282094621965138,-0.166852050472715
"Macrophage","FT-SA23508","C1QA",30,0.0915270708263944,0.0333333333333333,0.282094621965138,-0.166852050472715
"Macrophage","FT-SA23508","C1QB",30,0.100577166020488,0.0333333333333333,0.282094621965138,-0.166852050472715
"Macrophage","FT-SA23508","C1QC",30,0.127245041303227,0.0666666666666667,0.282094621965138,-0.166852050472715
"Macrophage","FT-SA23508","FOLR2",30,0.102326782483169,0.0666666666666667,0.282094621965138,-0.166852050472715
"Macrophage","FT-SA23508","TREM2",30,0,0,0.282094621965138,-0.166852050472715
"Macrophage","FT-SA23509","SPP1",28,0.200254687565983,0.0714285714285714,0.275280059316295,0.0127928771848117
"Macrophage","FT-SA23509","C1QA",28,0.450574407928171,0.178571428571429,0.275280059316295,0.0127928771848117
"Macrophage","FT-SA23509","C1QB",28,0.49027282624921,0.178571428571429,0.275280059316295,0.0127928771848117
"Macrophage","FT-SA23509","C1QC",28,0.155269602570196,0.0714285714285714,0.275280059316295,0.0127928771848117
"Macrophage","FT-SA23509","FOLR2",28,0.0517996063804924,0.0357142857142857,0.275280059316295,0.0127928771848117
"Macrophage","FT-SA23509","TREM2",28,0.220739794251959,0.107142857142857,0.275280059316295,0.0127928771848117
"Macrophage","FT-SA23510","SPP1",150,0.15607681304859,0.06,0.125889231159369,0.252316107429118
"Macrophage","FT-SA23510","C1QA",150,1.36943415529594,0.466666666666667,0.125889231159369,0.252316107429118
"Macrophage","FT-SA23510","C1QB",150,1.22444202545818,0.426666666666667,0.125889231159369,0.252316107429118
"Macrophage","FT-SA23510","C1QC",150,1.11502524929342,0.426666666666667,0.125889231159369,0.252316107429118
"Macrophage","FT-SA23510","FOLR2",150,0.244492731866279,0.126666666666667,0.125889231159369,0.252316107429118
"Macrophage","FT-SA23510","TREM2",150,0.306839447450141,0.18,0.125889231159369,0.252316107429118
"Macrophage","FT-SA23513","SPP1",16,0,0,-0.103709035295139,-0.176587550620332
"Macrophage","FT-SA23513","C1QA",16,0.186040628568166,0.0625,-0.103709035295139,-0.176587550620332
"Macrophage","FT-SA23513","C1QB",16,0.186040628568166,0.0625,-0.103709035295139,-0.176587550620332
"Macrophage","FT-SA23513","C1QC",16,0,0,-0.103709035295139,-0.176587550620332
"Macrophage","FT-SA23513","FOLR2",16,0,0,-0.103709035295139,-0.176587550620332
"Macrophage","FT-SA23513","TREM2",16,0,0,-0.103709035295139,-0.176587550620332
"Macrophage","FT-SA23514","SPP1",24,0.56929100678984,0.166666666666667,-0.0750716663877216,0.43762818984789
"Macrophage","FT-SA23514","C1QA",24,1.61395502996107,0.5,-0.0750716663877216,0.43762818984789
"Macrophage","FT-SA23514","C1QB",24,1.81533896892428,0.625,-0.0750716663877216,0.43762818984789
"Macrophage","FT-SA23514","C1QC",24,1.34163072607652,0.458333333333333,-0.0750716663877216,0.43762818984789
"Macrophage","FT-SA23514","FOLR2",24,0.0941692832614357,0.0416666666666667,-0.0750716663877216,0.43762818984789
"Macrophage","FT-SA23514","TREM2",24,0.817828595532215,0.375,-0.0750716663877216,0.43762818984789
"Macrophage","FT-SA23515","SPP1",39,0.623747485912208,0.17948717948718,-0.198245121132289,0.535516712570624
"Macrophage","FT-SA23515","C1QA",39,1.54020359885346,0.487179487179487,-0.198245121132289,0.535516712570624
"Macrophage","FT-SA23515","C1QB",39,1.42603277377567,0.461538461538462,-0.198245121132289,0.535516712570624
"Macrophage","FT-SA23515","C1QC",39,1.43756527941517,0.487179487179487,-0.198245121132289,0.535516712570624
"Macrophage","FT-SA23515","FOLR2",39,0.134832734329882,0.0512820512820513,-0.198245121132289,0.535516712570624
"Macrophage","FT-SA23515","TREM2",39,0.883093569553699,0.384615384615385,-0.198245121132289,0.535516712570624
"Macrophage","FT-SA24027","SPP1",37,0.0537491463011754,0.027027027027027,0.0291764574924157,-0.111981397961109
"Macrophage","FT-SA24027","C1QA",37,0.427295407170782,0.189189189189189,0.0291764574924157,-0.111981397961109
"Macrophage","FT-SA24027","C1QB",37,0.229791746387405,0.108108108108108,0.0291764574924157,-0.111981397961109
"Macrophage","FT-SA24027","C1QC",37,0.367837874661603,0.135135135135135,0.0291764574924157,-0.111981397961109
"Macrophage","FT-SA24027","FOLR2",37,0.0711100088952605,0.0540540540540541,0.0291764574924157,-0.111981397961109
"Macrophage","FT-SA24027","TREM2",37,0.09875689277258,0.0540540540540541,0.0291764574924157,-0.111981397961109
"Macrophage","FT01","SPP1",58,0.903726321391177,0.327586206896552,0.0624653090128196,0.553799992559462
"Macrophage","FT01","C1QA",58,1.71678532402411,0.620689655172414,0.0624653090128196,0.553799992559462
"Macrophage","FT01","C1QB",58,1.56891476563304,0.551724137931035,0.0624653090128196,0.553799992559462
"Macrophage","FT01","C1QC",58,1.32251227107548,0.46551724137931,0.0624653090128196,0.553799992559462
"Macrophage","FT01","FOLR2",58,0.226365697369779,0.120689655172414,0.0624653090128196,0.553799992559462
"Macrophage","FT01","TREM2",58,0.493413700630782,0.310344827586207,0.0624653090128196,0.553799992559462
"Macrophage","FT03","SPP1",124,0.802563583843128,0.266129032258065,0.375831636287639,0.461737096729861
"Macrophage","FT03","C1QA",124,1.88185194758484,0.661290322580645,0.375831636287639,0.461737096729861
"Macrophage","FT03","C1QB",124,1.76291140581054,0.612903225806452,0.375831636287639,0.461737096729861
"Macrophage","FT03","C1QC",124,1.40934495211473,0.508064516129032,0.375831636287639,0.461737096729861
"Macrophage","FT03","FOLR2",124,0.255147563608141,0.112903225806452,0.375831636287639,0.461737096729861
"Macrophage","FT03","TREM2",124,0.513592400468559,0.217741935483871,0.375831636287639,0.461737096729861
"Macrophage","FT5414","SPP1",141,0.0855435177827203,0.0354609929078014,-0.31139391954471,0.132250896802816
"Macrophage","FT5414","C1QA",141,2.49511619010068,0.716312056737589,-0.31139391954471,0.132250896802816
"Macrophage","FT5414","C1QB",141,2.22109064154513,0.666666666666667,-0.31139391954471,0.132250896802816
"Macrophage","FT5414","C1QC",141,1.96500592239352,0.595744680851064,-0.31139391954471,0.132250896802816
"Macrophage","FT5414","FOLR2",141,0.744072828249335,0.269503546099291,-0.31139391954471,0.132250896802816
"Macrophage","FT5414","TREM2",141,0.169773503082702,0.0780141843971631,-0.31139391954471,0.132250896802816
"Monocyte","FT-SA23505","SPP1",36,0.042985442187417,0.0277777777777778,0.880064485060858,-0.0475791917754404
"Monocyte","FT-SA23505","C1QA",36,0.109827609507648,0.0555555555555556,0.880064485060858,-0.0475791917754404
"Monocyte","FT-SA23505","C1QB",36,0.0352928742354826,0.0277777777777778,0.880064485060858,-0.0475791917754404
"Monocyte","FT-SA23505","C1QC",36,0.0352928742354826,0.0277777777777778,0.880064485060858,-0.0475791917754404
"Monocyte","FT-SA23505","FOLR2",36,0,0,0.880064485060858,-0.0475791917754404
"Monocyte","FT-SA23505","TREM2",36,0.0503464693123269,0.0277777777777778,0.880064485060858,-0.0475791917754404
"Monocyte","FT-SA23506","SPP1",45,0,0,0.663479347156526,-0.021986915075918
"Monocyte","FT-SA23506","C1QA",45,0.0472051899072326,0.0222222222222222,0.663479347156526,-0.021986915075918
"Monocyte","FT-SA23506","C1QB",45,0,0,0.663479347156526,-0.021986915075918
"Monocyte","FT-SA23506","C1QC",45,0,0,0.663479347156526,-0.021986915075918
"Monocyte","FT-SA23506","FOLR2",45,0,0,0.663479347156526,-0.021986915075918
"Monocyte","FT-SA23506","TREM2",45,0,0,0.663479347156526,-0.021986915075918
"Monocyte","FT-SA23508","SPP1",94,0,0,0.737993738933552,-0.0914660707581778
"Monocyte","FT-SA23508","C1QA",94,0.0229158175814789,0.0106382978723404,0.737993738933552,-0.0914660707581778
"Monocyte","FT-SA23508","C1QB",94,0.025663167848337,0.0106382978723404,0.737993738933552,-0.0914660707581778
"Monocyte","FT-SA23508","C1QC",94,0.0192021953939644,0.0106382978723404,0.737993738933552,-0.0914660707581778
"Monocyte","FT-SA23508","FOLR2",94,0.0625066456610966,0.0425531914893617,0.737993738933552,-0.0914660707581778
"Monocyte","FT-SA23508","TREM2",94,0,0,0.737993738933552,-0.0914660707581778
"Monocyte","FT-SA23509","SPP1",455,0.00974871521459872,0.0043956043956044,0.885285639356493,-0.0605133886017816
"Monocyte","FT-SA23509","C1QA",455,0.0776542626638107,0.0373626373626374,0.885285639356493,-0.0605133886017816
"Monocyte","FT-SA23509","C1QB",455,0.0132959013650666,0.00659340659340659,0.885285639356493,-0.0605133886017816
"Monocyte","FT-SA23509","C1QC",455,0,0,0.885285639356493,-0.0605133886017816
"Monocyte","FT-SA23509","FOLR2",455,0.0545627407082426,0.0351648351648352,0.885285639356493,-0.0605133886017816
"Monocyte","FT-SA23509","TREM2",455,0,0,0.885285639356493,-0.0605133886017816
"Monocyte","FT-SA23510","SPP1",213,0,0,0.743970500716659,-0.0898708809891962
"Monocyte","FT-SA23510","C1QA",213,0.0436732096705536,0.028169014084507,0.743970500716659,-0.0898708809891962
"Monocyte","FT-SA23510","C1QB",213,0.0428694681896688,0.0187793427230047,0.743970500716659,-0.0898708809891962
"Monocyte","FT-SA23510","C1QC",213,0,0,0.743970500716659,-0.0898708809891962
"Monocyte","FT-SA23510","FOLR2",213,0.0235107884217477,0.0187793427230047,0.743970500716659,-0.0898708809891962
"Monocyte","FT-SA23510","TREM2",213,0.0048675880964161,0.00469483568075117,0.743970500716659,-0.0898708809891962
"Monocyte","FT-SA23514","SPP1",9,0,0,0.778832245253264,-0.0974594649202282
"Monocyte","FT-SA23514","C1QA",9,0,0,0.778832245253264,-0.0974594649202282
"Monocyte","FT-SA23514","C1QB",9,0,0,0.778832245253264,-0.0974594649202282
"Monocyte","FT-SA23514","C1QC",9,0,0,0.778832245253264,-0.0974594649202282
"Monocyte","FT-SA23514","FOLR2",9,0,0,0.778832245253264,-0.0974594649202282
"Monocyte","FT-SA23514","TREM2",9,0,0,0.778832245253264,-0.0974594649202282
"Monocyte","FT-SA23515","SPP1",15,0,0,0.485284190118825,-0.0654613024941208
"Monocyte","FT-SA23515","C1QA",15,0.38393716954555,0.133333333333333,0.485284190118825,-0.0654613024941208
"Monocyte","FT-SA23515","C1QB",15,0.110329821104205,0.0666666666666667,0.485284190118825,-0.0654613024941208
"Monocyte","FT-SA23515","C1QC",15,0,0,0.485284190118825,-0.0654613024941208
"Monocyte","FT-SA23515","FOLR2",15,0,0,0.485284190118825,-0.0654613024941208
"Monocyte","FT-SA23515","TREM2",15,0,0,0.485284190118825,-0.0654613024941208
"Monocyte","FT-SA24027","SPP1",192,0.0157562791447741,0.0104166666666667,0.665227615712529,-0.0559810684795696
"Monocyte","FT-SA24027","C1QA",192,0.0825998305022507,0.046875,0.665227615712529,-0.0559810684795696
"Monocyte","FT-SA24027","C1QB",192,0.0227203692540899,0.0104166666666667,0.665227615712529,-0.0559810684795696
"Monocyte","FT-SA24027","C1QC",192,0.0248932804163349,0.0104166666666667,0.665227615712529,-0.0559810684795696
"Monocyte","FT-SA24027","FOLR2",192,0.114431611236757,0.0677083333333333,0.665227615712529,-0.0559810684795696
"Monocyte","FT-SA24027","TREM2",192,0,0,0.665227615712529,-0.0559810684795696
"Monocyte","FT01","SPP1",90,0.253629247905245,0.122222222222222,0.70381436829828,0.342008462641231
"Monocyte","FT01","C1QA",90,0.36240876859148,0.211111111111111,0.70381436829828,0.342008462641231
"Monocyte","FT01","C1QB",90,0.211806328731586,0.122222222222222,0.70381436829828,0.342008462641231
"Monocyte","FT01","C1QC",90,0.110716451034033,0.0777777777777778,0.70381436829828,0.342008462641231
"Monocyte","FT01","FOLR2",90,0.0736649938549329,0.0555555555555556,0.70381436829828,0.342008462641231
"Monocyte","FT01","TREM2",90,0.205634591574588,0.155555555555556,0.70381436829828,0.342008462641231
"Monocyte","FT03","SPP1",10,0,0,0.801102088334247,-0.0386782501769862
"Monocyte","FT03","C1QA",10,0.232985368712411,0.1,0.801102088334247,-0.0386782501769862
"Monocyte","FT03","C1QB",10,0.459157479942923,0.2,0.801102088334247,-0.0386782501769862
"Monocyte","FT03","C1QC",10,0,0,0.801102088334247,-0.0386782501769862
"Monocyte","FT03","FOLR2",10,0,0,0.801102088334247,-0.0386782501769862
"Monocyte","FT03","TREM2",10,0,0,0.801102088334247,-0.0386782501769862
"Monocyte","FT5414","SPP1",2,0,0,0.6998089268171,-0.0115124747636522
"Monocyte","FT5414","C1QA",2,0,0,0.6998089268171,-0.0115124747636522
"Monocyte","FT5414","C1QB",2,0,0,0.6998089268171,-0.0115124747636522
"Monocyte","FT5414","C1QC",2,0,0,0.6998089268171,-0.0115124747636522
"Monocyte","FT5414","FOLR2",2,0,0,0.6998089268171,-0.0115124747636522
"Monocyte","FT5414","TREM2",2,0,0,0.6998089268171,-0.0115124747636522
